epoch,channel,mean,variance,skewness,kurtosis,delta_power,theta_power,alpha_power,beta_power,gamma_power,entropy
0,Fp1,-6.003478316143828e-07,5.919080611153218e-11,-0.0036500145638676904,-0.06205288917626062,4.412522945368383e-11,2.411391579082893e-12,7.132609101094515e-12,2.716706255446885e-11,9.00925123203236e-12,3.019783142270369e-09
0,AF3,-1.990703177637642e-06,8.477688954667445e-11,-0.18142862459097708,-0.6349491022295308,6.186556354491392e-11,3.148944360373417e-12,5.998022711938807e-12,1.6197106856680383e-11,8.926725281750294e-12,3.859561900783093e-09
0,F7,-2.9037053845089684e-06,1.8087483222573768e-10,0.15593248259188258,-1.0161293965822118,1.9914546125097189e-10,1.6254024251140304e-11,2.0378079165745683e-11,5.1426229040131454e-11,6.39669421990454e-12,9.726733102422674e-09
0,F3,-2.816832999809575e-06,8.177732203684414e-11,-0.057026328118415334,-0.8722818814332114,7.157466628679928e-11,2.2776577366579363e-12,9.540042106830825e-12,2.4866490297426648e-11,4.927786843779929e-12,3.96932841044674e-09
0,FC1,-1.450578109402864e-06,1.7334618402535348e-11,-0.12451677888520936,0.08524822972854418,8.41920377264355e-12,2.108217677076829e-12,3.4159620231556093e-12,9.804482743248399e-12,7.99464376526121e-13,6.04791811373251e-10
0,FC5,-1.4215751808042729e-06,7.475159731818764e-11,0.24821404400275024,-0.5511951423232744,7.844914591218817e-11,6.096212040045993e-12,1.3640354980552676e-11,2.4688727134016623e-11,2.3032543058073927e-12,4.295768078961284e-09
0,T7,-1.8789865104269877e-06,7.263330374668044e-11,0.06456303107459489,-0.6804907841650887,3.2813250728584053e-11,8.817030113453275e-12,2.5865598958574158e-11,4.838624772885334e-11,4.24516083738601e-12,2.9469530613282974e-09
0,C3,-1.2129519009967541e-06,1.542853381773626e-11,-0.24304406832880107,-0.023154590419595777,1.245922253188995e-11,1.9870013683810828e-12,1.3649912427627268e-12,5.9482184318038766e-12,4.4381306655990353e-13,8.001663909384921e-10
0,CP1,2.8494090819454443e-07,2.0421200724957248e-11,0.20959476500976695,0.6041536475970988,7.36609274972927e-12,2.256960553389891e-12,4.342267135297205e-12,1.4982178127687583e-11,1.1078342957105758e-12,9.267595962989253e-10
0,CP5,-2.73730509003933e-06,4.572263407028471e-11,-0.4238725401962802,0.5091279172667793,2.4142725551784964e-11,8.887555864911838e-12,1.623348066438576e-11,4.0516381953817484e-11,2.4203971297631124e-12,2.183444468591927e-09
0,P7,-3.361616562711988e-06,8.761609159050794e-11,-0.21890149137127562,-0.023169020506035753,2.4265546190221664e-11,1.4436828031420842e-11,3.6042284203388616e-11,5.6130373355550926e-11,7.427042367240246e-12,3.3377858253315954e-09
0,P3,-1.5650103061081193e-06,4.255996950797117e-11,-0.10826351892675438,0.5648995874006446,1.8728189962108183e-11,8.698759713836035e-12,1.3608978322685408e-11,3.7168304301341525e-11,2.4479219038738575e-12,1.9453868403165062e-09
0,Pz,-7.167081204883532e-07,4.535452866221232e-11,0.07766644854923076,0.5434900823326005,2.872933433867735e-11,6.503457486217524e-12,8.269463009807775e-12,3.178080723425058e-11,2.0191583463115975e-12,2.107682595521379e-09
0,PO3,-2.467811323776706e-06,7.18788805941133e-11,-0.08851332659824736,0.17471175577118547,3.852992073988513e-11,1.217120614547883e-11,2.613858744103144e-11,4.449498252176616e-11,3.1891020539864404e-12,2.9629656946506453e-09
0,O1,-3.5299382018927078e-06,1.0249457257386096e-10,-0.17529813853428614,0.34007676459794256,5.6911790518271176e-11,1.3428396367255458e-11,2.836517024157873e-11,5.570420233668434e-11,3.767145990417267e-12,3.708565010410808e-09
0,Oz,-3.3533419607546495e-06,1.2107463597811473e-10,-0.2954350972439257,0.7607833708182064,6.478013575159863e-11,1.3189693244840463e-11,3.117081646204596e-11,5.248168718986223e-11,4.204375536429112e-12,4.02767850423612e-09
0,O2,-4.307163020730607e-06,1.5049875883759364e-10,-0.6167355178720035,1.3190755735543833,9.952507477090032e-11,1.4115533042812843e-11,2.4672393978495265e-11,6.929938081153686e-11,5.51371049944828e-12,5.088416133467002e-09
0,PO4,-3.503377801041656e-06,1.0877188873413695e-10,-0.9125902504294766,1.9486281581108242,6.041955428270393e-11,1.3960442573355885e-11,1.95602912844905e-11,6.027699574686046e-11,4.162495643070155e-12,3.6751900456526353e-09
0,P4,-2.897364390618788e-06,1.0256899899091329e-10,-1.0753560417569537,2.779830330029478,4.56616977330395e-11,1.7193957344753264e-11,2.8083788435576525e-11,6.46992408907476e-11,3.0928437021155e-12,3.640586307927299e-09
0,P8,-2.5251561746772524e-06,1.1047531964773484e-10,-0.8664947863934933,1.3559718458451044,7.970735283727971e-11,1.9323740115598967e-11,2.2257502716675362e-11,6.562447255515852e-11,4.3074420344029385e-12,4.314650354766431e-09
0,CP6,-1.6816247365128095e-06,1.0442658307885616e-10,-1.1746712750326465,2.6707970759088386,6.957637184398979e-11,2.019182149998814e-11,2.8941783853950482e-11,6.821473289835901e-11,3.81757376979534e-12,4.3830309920712946e-09
0,CP2,-1.0155897487823664e-06,4.792566794225048e-11,-0.6602005190265687,1.3283810844598287,2.4261767202623828e-11,6.663069576585293e-12,1.531695022871353e-11,3.6913096363235533e-11,1.8264736135695664e-12,2.233268662107845e-09
0,C4,-1.978340400485807e-06,6.956667683487336e-11,-0.8685736208735376,1.618842265626447,4.712416153385952e-11,1.2701076111430427e-11,2.2284408535889407e-11,4.6689968503175566e-11,5.135450639341081e-12,2.964901121231135e-09
0,T8,1.6948991694061927e-06,1.337183482430251e-10,-0.01576586622334704,-0.17548260784701775,1.1484021093039923e-10,2.287518122488073e-11,2.0339637346123567e-11,6.181376590917019e-11,8.014519346083212e-12,6.025933715869092e-09
0,FC6,-2.2673742418299078e-07,7.267097752171016e-11,-0.14440111129815922,0.210426247814822,9.931571440769825e-11,1.9984578807037393e-11,1.2321872261713025e-11,4.1928555009758996e-11,5.7237482376405326e-12,4.450955815940462e-09
0,FC2,-7.538101037262725e-07,2.4732472398037744e-11,0.08016721186152892,0.20677905358064397,1.0834451492104179e-11,1.0229021535884826e-11,5.886564872477651e-12,2.346419646547062e-11,1.4429869599674025e-12,1.2829173275863826e-09
0,F4,-1.1585122683148329e-06,5.0152073060901693e-11,-0.2765766856408848,-0.2465549770750739,4.7668291912041883e-11,1.3978627710675248e-11,7.130014835820273e-12,2.9920907557323024e-11,8.660079103981798e-12,2.7280529409682643e-09
0,F8,-2.510230861582979e-06,1.1011360177510343e-10,-0.4979154986409574,0.23148318217534625,2.1913194019087498e-10,1.5961952230181977e-11,1.6372325225566995e-11,4.838980166307528e-11,3.8780183854794845e-12,7.513454842848763e-09
0,AF4,-8.202714429260438e-07,4.4397176713244834e-11,-0.39095083031511996,0.2001300753684876,5.6010669439444625e-11,9.255711579492012e-12,5.470613371127203e-12,3.793201625562676e-11,6.729547370577172e-12,2.9384509071675057e-09
0,Fp2,-4.781895074882548e-07,2.2961113970677973e-11,-0.07287226497608484,-0.19986633352095717,2.404654154562128e-11,4.267877728342254e-12,2.439790565549076e-12,1.8788484050974344e-11,3.08676339032893e-12,1.3821829941553736e-09
0,Fz,-6.070001950944039e-07,2.0458525221411462e-11,-0.27985656481740534,0.6678191657648602,1.3635226088245658e-11,6.71965105391642e-12,4.1618870226698036e-12,1.5402858776878676e-11,1.6873851382588808e-12,9.502555626697127e-10
0,Cz,3.0998873531358595e-07,2.2211043630060973e-11,0.10465267228669578,0.12455611517991994,1.3481525084363071e-11,6.149116541611456e-12,4.060142062926512e-12,1.6382056782308976e-11,7.024184756337059e-13,1.1579469111936409e-09
0,EXG1,-3.0819617765933886e-06,1.0203032792171426e-10,-0.4025792445191394,0.036560500425930176,2.6638354027379663e-11,1.560342920472043e-11,3.518315161005049e-11,7.40833286643046e-11,8.675426111323654e-12,3.738428996029125e-09
1,Fp1,-9.273355653903774e-07,5.4042107332013576e-11,0.0130043798924913,-0.3444582587065863,1.9819778367747362e-11,7.420249718119836e-12,7.292709166838221e-12,2.0840149987031774e-11,2.3128328715242073e-11,2.2914689342566865e-09
1,AF3,-3.8299912331786444e-07,3.1510625249788e-11,0.15441807022158166,-0.47661068639993376,8.299517774354345e-12,5.1162904698627626e-12,6.402825158688405e-12,1.3387743674516496e-11,3.568011742953395e-12,1.1051679766638651e-09
1,F7,-4.752533633183991e-07,5.5703184424282005e-11,-0.14518528292212957,-0.38298355372166126,1.7896659912111067e-11,9.649226717523435e-12,1.1141097675619897e-11,2.1037343896263206e-11,6.618993128694717e-12,2.259764241794705e-09
1,F3,1.143128463042569e-07,4.506227883114716e-11,0.3275863896770377,-0.4673177546051588,4.300651259139312e-12,3.943204044254788e-12,6.352621978346101e-12,1.9829161224803057e-11,4.341539315693743e-12,1.5453775461486466e-09
1,FC1,3.360431426117814e-07,1.2808872289045147e-11,0.31026544202471323,-0.12194381461219894,4.40818291455689e-12,1.827358033971969e-12,2.7308961284444057e-12,5.2497272483072004e-12,7.824611501810804e-13,4.628191225160524e-10
1,FC5,9.050060529230286e-08,3.595787327640158e-11,0.08998980606090015,-0.5382810023095774,1.6544437917269885e-11,4.550012702099246e-12,8.271803369107084e-12,1.106222202935305e-11,3.0963141705269115e-12,1.3983873470067967e-09
1,T7,5.099281068858981e-07,4.326066617065362e-11,-0.0010478769967865727,-0.2008467440260424,1.2336707856955974e-11,7.761706406891745e-12,1.8937643935835734e-11,2.594916709047666e-11,4.87064979448209e-12,2.0083332962590596e-09
1,C3,1.1728045897537e-06,1.2553392580146386e-11,-0.12910428990221362,0.27498300352078653,4.612708443345471e-12,2.6249993441267497e-12,3.0718985421472104e-12,3.6781756214152455e-12,4.939237806117118e-13,5.523255349027284e-10
1,CP1,7.770404750569002e-07,2.3423970049490858e-11,-0.45121513055417467,0.48938372295547206,1.3497764243940822e-11,4.444937086051265e-12,4.228937607482258e-12,1.1483451164262898e-11,9.22525644057127e-13,1.0696933187879961e-09
1,CP5,1.6444842560351582e-06,3.9036840196297326e-11,-0.3593981430503408,0.034909532299806756,3.02909204648697e-11,5.449216836063484e-12,8.293857144384095e-12,2.209960908961343e-11,1.5155833969238514e-12,1.617737685489611e-09
1,P7,1.1645275556035948e-06,4.591568242771364e-11,-0.28605453786000345,0.6029244759586789,1.921188522737297e-11,1.2704380300205332e-11,2.3238153496354714e-11,3.005108247013566e-11,4.101674324204718e-12,2.091376502544767e-09
1,P3,1.0805091822133275e-06,4.132175598060376e-11,-0.333378414925961,0.1652360435134046,2.6180694153717898e-11,1.483226917248041e-11,6.731069200716484e-12,2.3816282638307705e-11,1.7961389041614528e-12,2.053708749718015e-09
1,Pz,1.1945534234661043e-06,1.0975374967673421e-10,0.41495528911652657,-0.4152194029275278,1.0751096756270323e-10,1.4298238721816982e-11,1.2813523293557341e-11,2.2750448435110052e-11,2.1809271698807323e-12,5.886242363921234e-09
1,PO3,1.1246715704325331e-06,5.1934025000661976e-11,-0.19076926426975627,0.2073264024107111,3.7082382580420986e-11,2.2557017283661636e-11,2.360598289010606e-11,3.6158277086797834e-11,3.1638094241099586e-12,3.0172244874515368e-09
1,O1,1.3532456588931002e-06,6.415453079164748e-11,-0.12984676180469532,-0.37952004231410674,2.377921047606962e-11,2.7867835717474728e-11,4.101837758773681e-11,3.7636390838426827e-11,5.7260503142632906e-12,3.2309535756091265e-09
1,Oz,7.128052688049193e-07,7.148489207973073e-11,-0.13648894629700203,-0.5620858216835729,2.0057069996312107e-11,2.612287141992585e-11,3.674804526885703e-11,4.2799846121372475e-11,6.148847129470622e-12,3.0888987799153074e-09
1,O2,1.0454161318298678e-06,7.765869169424126e-11,-0.11802430695520179,-0.595399177855481,3.664364246436691e-11,1.8672851441642256e-11,3.559972475655176e-11,4.74162079277424e-11,5.605692164388826e-12,3.3833274989924615e-09
1,PO4,1.2690284806915205e-06,6.047077104329382e-11,-0.16021016792151407,-0.29295902993202283,3.3888708435677543e-11,1.2001450992219038e-11,1.6082942268531167e-11,4.0690330558370295e-11,3.780839077755548e-12,2.5218006468021643e-09
1,P4,9.689070416420785e-07,6.141453600162836e-11,-0.25650262366549176,-0.1355414923648719,1.718117512843128e-11,1.0989777299132042e-11,1.9375899254149608e-11,4.557014127392639e-11,3.374079316872286e-12,2.343595232286204e-09
1,P8,1.11327335797058e-06,6.64994617015109e-11,-0.2262744359693338,-0.37371708973489515,2.569351109928425e-11,1.1563779437182601e-11,1.8403520733664337e-11,5.0135719728332295e-11,4.413953406975513e-12,2.453214479792813e-09
1,CP6,8.624452302541385e-07,6.165885335876628e-11,-0.32862708080575814,-0.10652950760287316,2.3579424192674855e-11,1.2051274005059386e-11,1.821311151467701e-11,5.1527262269324836e-11,3.3142572169611883e-12,2.507622906004751e-09
1,CP2,8.380774456774293e-07,3.228729446313147e-11,-0.22964395845357363,-0.09188668782231124,1.0962546746048432e-11,5.606321066378264e-12,1.969100450246909e-11,2.088963367926043e-11,1.8831931311773323e-12,1.5610991977870949e-09
1,C4,9.329666990694039e-07,4.661207875716115e-11,-0.40802864923372684,-0.056241736027101474,1.2659223246355866e-11,1.103157220743319e-11,1.8725217758309478e-11,3.3757788769755276e-11,3.645789043058233e-12,1.842589151647117e-09
